mean_c_salt_02_lj,err_c_salt_02_lj,mean_c_solvent_02_lj,err_c_solvent_02_lj,volume_02_lj,err_volume_02_lj,mean_c_salt_02_wca,err_c_salt_02_wca,mean_c_solvent_02_wca,err_c_solvent_02_wca,volume_02_wca,err_volume_02_wca,mean_c_salt_1_lj,err_c_salt_1_lj,mean_c_solvent_1_lj,err_c_solvent_1_lj,volume_1_lj,err_volume_1_lj,mean_c_salt_1_wca,err_c_salt_1_wca,mean_c_solvent_1_wca,err_c_solvent_1_wca,volume_1_wca,err_volume_1_wca,mean_c_salt_5_lj,err_c_salt_5_lj,mean_c_solvent_5_lj,err_c_solvent_5_lj,volume_5_lj,err_volume_5_lj,mean_c_salt_5_wca,err_c_salt_5_wca,mean_c_solvent_5_wca,err_c_solvent_5_wca,volume_5_wca,err_volume_5_wca
0.00736868,1.44756394e-07,0.73686766,1.44756394e-05,6785.47899391,0.13330202,0.0038242,1.00795135e-07,0.38241962,1.00795135e-05,13074.6430582,0.34459535,0.00736397,1.25833084e-07,0.73639661,1.25833084e-05,6789.81942782,0.1160208,0.00382007,9.8438905e-08,0.38200724,9.8438905e-06,13088.75728142,0.33723585,0.00736328,1.62024677e-07,0.73632791,1.62024677e-05,6790.45295965,0.14941958,0.00381937,6.07614334e-08,0.38193728,6.07614334e-06,13091.15477129,0.20826613
0.0109506,9.21605511e-08,0.73003994,6.14403674e-06,6848.94037369,0.0576402,0.00568496,1.60889339e-07,0.37899736,1.07259559e-05,13192.70395976,0.37338906,0.01093957,1.69096048e-07,0.72930498,1.12730699e-05,6855.84237412,0.10597206,0.00567498,1.51134282e-07,0.3783321,1.00756188e-05,13215.90235602,0.35197454,0.01093804,1.612284e-07,0.72920253,1.074856e-05,6856.80563426,0.10107291,0.00567335,1.89484958e-07,0.3782234,1.26323305e-05,13219.7005006,0.44151618
0.01446633,2.68343788e-07,0.72331645,1.34171894e-05,6912.6037593,0.12822609,0.00751268,1.76140751e-07,0.37563395,8.80703755e-06,13310.83098203,0.31208336,0.01444661,1.80633365e-07,0.72233034,9.03166826e-06,6922.04068991,0.08654792,0.00749421,1.42935825e-07,0.37471073,7.14679126e-06,13343.62653786,0.25450405,0.01444335,1.77351187e-07,0.72216768,8.86755933e-06,6923.59977863,0.08501801,0.00749179,1.12750086e-07,0.37458936,5.6375043e-06,13347.94999819,0.20087621
0.03428648,5.45645828e-07,0.6857295,1.09129166e-05,7291.5048835,0.116038,0.01784505,4.46682207e-07,0.35690096,8.93364414e-06,14009.48899867,0.35068612,0.03416186,6.58358623e-07,0.68323717,1.31671725e-05,7318.10307344,0.14104502,0.01772766,4.36915655e-07,0.35455313,8.7383131e-06,14102.25869134,0.34758266,0.03414242,5.79968232e-07,0.68284838,1.15993646e-05,7322.26971696,0.12438313,0.01771105,4.75496898e-07,0.35422105,9.50993797e-06,14115.47979709,0.37896666
0.0521512,4.9345223e-07,0.65188995,6.16815288e-06,7670.00623995,0.07257629,0.02720008,6.13085077e-07,0.34000102,7.66356347e-06,14705.83811773,0.33145523,0.05185402,9.77206418e-07,0.64817531,1.22150802e-05,7713.96249199,0.14537523,0.02691776,5.45862515e-07,0.33647198,6.82328143e-06,14860.07856536,0.30135021,0.05180515,9.94638332e-07,0.6475644,1.24329792e-05,7721.23979521,0.14824435,0.02687308,6.15867045e-07,0.33591351,7.69833806e-06,14884.78380187,0.34113018
0.06311536,1.02223929e-06,0.63115363,1.02223929e-05,7922.00146848,0.12831336,0.03296396,8.2145692e-07,0.32963962,8.2145692e-06,15168.07967614,0.37799883,0.06267469,9.64312314e-07,0.62674685,9.64312314e-06,7977.70260617,0.12274905,0.03254048,8.61970568e-07,0.32540483,8.61970568e-06,15365.47578505,0.40701887,0.06260036,7.30345666e-07,0.62600359,7.30345666e-06,7987.17462537,0.0931832,0.03247382,8.51834144e-07,0.32473818,8.51834144e-06,15397.01928685,0.40387231
0.08769986,1.36964486e-06,0.58466574,9.13096571e-06,8551.89501391,0.13355715,0.04594713,1.02195681e-06,0.30631418,6.81304543e-06,16323.10974572,0.36304927,0.0868362,1.70399285e-06,0.57890798,1.13599523e-05,8636.95121769,0.16948635,0.04511223,1.28244576e-06,0.30074821,8.5496384e-06,16625.20285252,0.47259763,0.08668457,2.16423589e-06,0.57789715,1.44282392e-05,8652.05861148,0.21600737,0.04497482,1.00599567e-06,0.2998321,6.7066378e-06,16675.99948988,0.37299853
0.108912,1.85657336e-06,0.54456,9.28286679e-06,9181.72467894,0.15651679,0.05722107,1.38630639e-06,0.28610533,6.93153194e-06,17476.08116155,0.4234144,0.10756957,1.76397037e-06,0.53784784,8.81985186e-06,9296.30946661,0.15243819,0.05591078,1.86942549e-06,0.27955389,9.34712746e-06,17885.63948993,0.59806371,0.10733376,1.70841425e-06,0.53666879,8.54207126e-06,9316.73333935,0.14828851,0.0556888,1.19044213e-06,0.27844402,5.95221063e-06,17956.9310941,0.38386362
0.14364464,2.18707336e-06,0.47881548,7.29024453e-06,10442.43602681,0.15899022,0.07582453,1.86147137e-06,0.25274843,6.20490456e-06,19782.51648794,0.48565664,0.1413233,1.96331431e-06,0.47107766,6.54438103e-06,10613.96113105,0.14745059,0.07350924,1.64476842e-06,0.24503081,5.48256139e-06,20405.59762739,0.45656057,0.14089438,1.04315426e-06,0.46964795,3.47718085e-06,10646.27239245,0.07882314,0.0731064,1.28500404e-06,0.24368801,4.28334679e-06,20518.0383946,0.36065982
0.17087681,2.78322852e-06,0.42719203,6.9580713e-06,11704.33829274,0.19064138,0.09053779,1.60852824e-06,0.22634448,4.0213206e-06,22090.2226652,0.39245758,0.16762134,2.44642456e-06,0.41905336,6.1160614e-06,11931.65468515,0.17413697,0.08724371,1.65202213e-06,0.21810928,4.13005532e-06,22924.28835108,0.43412216,0.1670078,1.72724527e-06,0.4175195,4.31811318e-06,11975.48868034,0.12385387,0.08666569,1.5003758e-06,0.21666422,3.7509395e-06,23077.18354831,0.39952018
0.23871832,3.22772642e-06,0.2983979,4.03465803e-06,16756.15008778,0.22655661,0.12768894,1.71191e-06,0.15961118,2.1398875e-06,31326.12647547,0.41999692,0.23253265,3.55672733e-06,0.29066581,4.44590917e-06,17201.88577594,0.2631073,0.12122272,1.44014431e-06,0.1515284,1.80018038e-06,32997.11528418,0.39201689,0.23130915,2.58636649e-06,0.28913644,3.23295811e-06,17292.87410293,0.19335764,0.12006408,2.32871109e-06,0.15008009,2.91088886e-06,33315.54417904,0.64610048
